year,month,n_prcp,n_tmax,n_tmin,prcp_mm_sum,tmax_c_mean,tmin_c_mean,TAvg_c_mean,n_days_mo,date
2001,11,30,30,30,2.1,17.983333333333334,2.2666666666666666,10.125,30,2001-11-01
2001,12,31,31,31,8.1,11.941935483870967,-4.17741935483871,3.882258064516129,31,2001-12-01
2002,1,31,31,31,19.8,10.451612903225806,-5.903225806451613,2.274193548387097,31,2002-01-01
2002,2,28,28,28,7.6,10.082142857142857,-5.125,2.4785714285714286,28,2002-02-01
2002,3,31,31,31,33,13.706451612903226,-6.093548387096774,3.806451612903226,31,2002-03-01
2002,4,30,30,30,38.6,21.496666666666666,5.573333333333333,13.535,30,2002-04-01
2002,5,31,31,31,40.6,25.064516129032256,9.832258064516129,17.448387096774194,31,2002-05-01
2002,6,30,30,30,102.9,32.596666666666664,18.37666666666667,25.486666666666668,30,2002-06-01
2002,7,31,31,31,39.699999999999996,34.848387096774196,20.5,27.674193548387098,31,2002-07-01
2002,8,31,31,31,59.7,33.39677419354839,19.18709677419355,26.29193548387097,31,2002-08-01
2002,9,30,28,28,7.199999999999999,29.864285714285714,14.521428571428572,22.192857142857143,30,2002-09-01
2002,10,31,31,31,139.2,15.429032258064517,4.532258064516129,9.980645161290322,31,2002-10-01
2002,11,30,30,30,0,14.923333333333334,-1.07,6.926666666666667,30,2002-11-01
2002,12,31,31,31,14.2,10.451612903225806,-4.377419354838709,3.0370967741935484,31,2002-12-01
2003,1,31,31,31,6.4,8.938709677419356,-7.193548387096774,0.8725806451612903,31,2003-01-01
2003,2,28,28,28,22.6,5.867857142857143,-6.825,-0.4785714285714286,28,2003-02-01
2003,3,31,31,31,71.2,14.932258064516128,-0.19677419354838704,7.367741935483871,31,2003-03-01
2003,4,30,30,30,95.7,21.113333333333333,5.83,13.471666666666666,30,2003-04-01
2003,5,31,31,31,116.3,24.883870967741935,10.403225806451614,17.643548387096775,31,2003-05-01
2003,6,30,30,30,17,28.903333333333332,15.446666666666667,22.175,30,2003-06-01
2003,7,31,31,31,27.200000000000003,36.958064516129035,18.429032258064517,27.693548387096776,31,2003-07-01
2003,8,31,31,31,51.4,33.75483870967742,16.580645161290324,25.16774193548387,31,2003-08-01
2003,9,30,30,30,47.5,26.976666666666667,11.393333333333333,19.185,30,2003-09-01
2003,10,31,31,31,28.5,22.638709677419353,7.296774193548387,14.96774193548387,31,2003-10-01
2003,11,30,30,30,6.4,14.16,-1.36,6.3999999999999995,30,2003-11-01
2003,12,31,31,31,37.599999999999994,9.96774193548387,-5.983870967741935,1.9919354838709677,31,2003-12-01
2004,1,31,31,31,6.8,8.470967741935484,-9.051612903225807,-0.2903225806451614,31,2004-01-01
2004,2,29,29,29,114.3,6.513793103448276,-6.893103448275862,-0.1896551724137932,28,2004-02-01
2004,3,31,31,31,104.1,18.248387096774195,2.532258064516129,10.390322580645162,31,2004-03-01
2004,4,30,30,30,73.8,20.523333333333333,5.703333333333333,13.113333333333333,30,2004-04-01
2004,5,31,31,31,36,28.68064516129032,12.370967741935484,20.525806451612905,31,2004-05-01
2004,6,30,30,30,217,28.91,15.513333333333334,22.211666666666666,30,2004-06-01
2004,7,30,31,31,182.9,31.325806451612902,18.296774193548387,24.811290322580646,31,2004-07-01
2004,8,31,31,31,36.3,30.23548387096774,16.451612903225808,23.343548387096774,31,2004-08-01
2004,9,29,30,30,48.8,30.35333333333333,14.790000000000001,22.571666666666665,30,2004-09-01
2004,10,31,31,31,61.3,21.05483870967742,8.335483870967742,14.69516129032258,31,2004-10-01
2004,11,30,30,30,63,11.763333333333334,0.7066666666666668,6.235,30,2004-11-01
2004,12,31,31,31,1.3,10.293548387096774,-5.287096774193548,2.5032258064516126,31,2004-12-01
2005,1,31,31,31,29.2,4.080645161290323,-6.845161290322581,-1.382258064516129,31,2005-01-01
2005,2,28,28,28,47.8,11.107142857142858,-1.3928571428571428,4.857142857142857,28,2005-02-01
2005,3,31,31,31,12.399999999999999,15.86774193548387,-0.25161290322580643,7.808064516129032,31,2005-03-01
2005,4,30,30,30,49.4,20.393333333333334,5.616666666666666,13.005,30,2005-04-01
2005,5,31,31,31,54.599999999999994,26.164516129032258,10.82258064516129,18.493548387096773,31,2005-05-01
